frame_idx,timestamp_ms,blur_score,g1_pass,shake_score,g2_pass,pool_ratio,g3_pass,glare_score,g4_pass,splash_ratio,g5_pass,frame_pass
30,31686.0,303.9809503511218,True,4.729947566986084,True,0.12699544270833332,True,137.52332983022754,True,0.01687471697468365,True,True
31,32742.2,333.88482312915477,True,11.065991401672363,True,0.13225694444444444,True,137.2757449461801,True,0.015317340509320031,True,True
32,33798.4,343.77363089030587,True,4.495904445648193,True,0.12872504340277777,True,137.64154156094847,True,0.01081486601535829,True,True
33,34854.6,283.49100510378116,True,4.040263652801514,True,0.129716796875,True,136.30813822178726,True,0.022844571591089696,True,True
34,35910.8,211.0558873505015,True,14.506673812866211,True,0.12584418402777778,True,135.25647105485524,True,0.026824052837607134,True,True
35,36967.0,265.7517434432407,True,10.634821891784668,True,0.12313802083333333,True,132.7171319304924,True,0.0120369391279828,True,True
36,38023.200000000004,256.7327950315075,True,11.065634727478027,True,0.13047743055555555,True,134.9253126871133,True,0.017796553788836406,True,True
37,39079.4,252.00188638974288,True,10.40487003326416,True,0.1283767361111111,True,133.55607208060044,True,0.01845121373994185,True,True
38,40135.6,277.5544387014836,True,9.900559425354004,True,0.12793511284722223,True,133.44983673296298,True,0.02970187863110131,True,True
39,41191.8,282.15461876981755,True,11.71114730834961,True,0.11510199652777778,False,135.4218122513622,True,0.0371613341126341,True,False
40,42248.0,283.4809520462414,True,8.352082252502441,True,0.11305555555555556,False,136.14989634520884,True,0.02924408783783784,True,False
41,43304.200000000004,268.94864082724484,True,9.454158782958984,True,0.10883680555555555,False,136.6734227947041,True,0.03563167969373106,True,False
42,44360.4,262.1486120179624,True,9.580100059509277,True,0.10693467881944445,False,136.9040192387698,True,0.025651693032034174,True,False
43,45416.6,253.3348908553465,True,9.881725311279297,True,0.10758138020833333,False,137.57566038306757,True,0.028523303781254096,True,False
44,46472.8,248.20895177758766,True,10.486570358276367,True,0.11037000868055556,False,136.52603792876315,True,0.02503023093484865,True,False
45,47529.0,195.99727301736996,True,12.28795337677002,True,0.11568359375,False,140.74781923574764,True,0.03603654304312755,True,False
46,48585.200000000004,203.09375431162508,True,12.38090991973877,True,0.11795464409722223,False,142.63696910042592,True,0.04388861802827785,True,False
47,49641.4,258.4796959446613,True,11.942010879516602,True,0.1295388454861111,True,144.49455952690082,True,0.04535821683154218,True,True
48,50697.600000000006,220.41997548689548,True,11.451190948486328,True,0.13306423611111112,True,143.66949898884468,True,0.05055776632526584,True,True
49,51753.8,164.18274081300333,True,14.348837852478027,True,0.1253689236111111,True,143.93467197507357,True,0.052830188679245285,True,True
